305	jammern; klagen	to complain	quejarse; gemir
306	Hitze	heat	calor
307	kalt	cold	frío
308	heiß sein	to be hot	hacer calor
309	kalt sein	to be cold	hacer frío
310	harter, grüner oder blauer Stein, verwendet als Mahlstein	hard, green or blue stone used as grind stone	piedra dura y lisa de color verde o azul, usada en molino y batán
311	munter; beweglich; fähig, allein zu gehen; ausreichend genesen	agile; able to walk alone; sufficiently retired	ágil; que puede caminar solo; bastante aliviado (recuperado) de alguna enfermedad
312	wie Luft; schnell	like air; quick; fast	igual al aire; rápido; pronto
313	Mais oder Bohnen durch Abschneiden des Stengels ernten	to harvest corn or beans cutting the stalk	arreglar un cultivo; cosechar maíz, habas, cortando el tallo
314	Baumwolle	cotton	algodón
315	Algebra	algebra	algebra
316	algebraisch	algebraic	algebráico
317	Algebra	algebra	álgebra
318	Pflanze	plant; branch	planta
319	glücklich; fröhlich	happy	alegre
320	fröhlich sein	to be happy	estar alegre
321	Deutsch	German	alemán
322	Nahrung	food	alimento
323	Sterz; Vogelschwanz	the bird's tail	rabadilla de las aves
324	sich vorbereiten	to prepare oneself	alistarse
325	vorbereiten	to prepare	alistar; preparar
326	Bürgermeister	mayor	alcalde
327	den Rock lüpfen	to raise the skirt	levantar la pollera
328	erwarten; warten	to wait; to wait for; to expect; to expect	esperar; aguardar; aguardar
329	Furche	furrow	surco
330	leihen; borgen	to rent	alquilar; prestar
331	Alkohol	alcohol	alcohol
332	Alkohol	alcohol	alcohol
333	Mais aufhäufen	to heap maize	amontonar maíz; hacinar
334	Seele	spirit; soul	alma; alma (espíritu); espíritu (fantasma)
335	Familiengrab	family grave	panteón
336	ein Mistbeet machen	to make a hotbed	hacer almácigo
337	von Indianerinnen getragenes Kleid	dress worn by Indian women	vestido llevado por la mujer indígena
338	Mittagessen	lunch	almuerzo
339	mittagessen	to have lunch	almorzar
340	Arroba (spanische Gewichtseinheit, 1 arroba = 11,5 kg)	arroba (measurement of weight, about 25 pounds or 11.5 kg)	arroba; arroba (25 lb. o 11,5 kilos)
341	traditionelle Sandalen	traditional sandals	alpargatas
342	Reisesack; Mundvorrat; Wegzehrung	victuals; provisions; bundle	alforja
343	weiß und schwarz; schwarz und weiß; schwarz-weiß; zweifarbig; abwechselnd	white and black; black and white; two-coloured; alternate	blanco y negro; blanquinegro; combinado; alternado; interpolado; bicolor; moteado
344	Fehler; Abbruch; Hemmung; Bruch; Riss; Scharte; Lücke; Versagen; unvollendetes Werk	error; failure; breaking off; stop; rupture; gap; breach; uncompleted work	falla; mella; cosa que no deja concluir; obra incompleta
345	Weißes im Auge	white of the eye	blanco del ojo
346	kalter Ort	cold place	lugar frío; páramo; puna
347	gesprenkelt; gefleckt; marmoriert	mottled; striped; speckled	jaspeado
348	Geierfalke	kind of falcon	chima linda; carancho; especie de pájaro blanquinegro; falcónido de plumaje blanco y negro que vive en las montañas; chimalinda
349	Fluss, der bei Machu Pikchu entspringt	river that springs from Machu Pikchu	río que nace en Machu Pikchu
350	abbrechen (aufhören)	to stop	descontinuar
351	Nahrung, die jemand erhält, der beim Fest mitarbeitet	food that receives anyone who collaborates within a celebration	comida que recibe el tejedor, bailarín, músico o cualquiera que colabora con la fiesta
352	entkommen; fliehen	to escape	escapar
353	Revolution	revolution	revolución
354	sich erheben	to rise	alzarse
355	Nahrung im Austausch für Hilfe beim Ausrichten eines Festes bekommen	to get food in return for helping in a celebration	"ser complementado; recibir la comida en la fiesta por haber ayudado o ""complementado"" (colaborado) en su realización"
356	aufheben; anheben	to raise	alzar
357	wegtun; entfernen	to remove	remover; sacar fuera; sacar del fondo de algo que tiene agua
358	hoch	high	alto
359	Höhe; hohe Region; Zenit	height; high region; zenith	altura; puna; cenit
360	schöne, fruchtbares Tal im Norden des Departements San Martín (Perú), umfasst die Provinzen Rioja und Moyobamba; (span.) Alto Mayo	beatiful and rich valley in the North of the department of San Martín (Perú) including the provinces of Rioja and Moyobamba; (Span.) Alto Mayo	hermoso y rico valle, ubicado al norte de la región San Martín y que comprende las provincias de Rioja y Moyobamba; (esp.) Alto Mayo
361	hoher Schamane; andiner Priester dritten Grades	high shamane; high priest; an andean priest of the third level; a diviner of the highest order	curandero alto; sacerdote andino del tercer nivel; sacerdote andino
362	Stern im Zenit; Stern, der schon hoch oben ist	star in the zenith; star which is already high	estrella en el cenit; estrella que ya está alta
363	Obergeschoss eines Hauses	second floor of a house	los altos o el segundo piso de la casa; segundo piso; terrado
364	Erdrutsch; Lawine	landslide; alluvion; avalanche; flood	aluvión; alud
365	Quartier beziehen	to lodge (with someone)	alojarse
366	beherbergen	to lodge; to give boarding	alojar
367	Aluminium	aluminium	aluminio
368	Schüler	pupil; student	alumno
369	Medizinpflanze, verwendet bei inneren Reizungen	medical plant used against internal irritations	planta medicinal para la irritación interna
370	Alonso (Pflanze, deren Wurzel Entzündungen und blutiges Magengeschwür heilt)	alonso (plant whose root heals inflammation and bleeding stomach ulcer)	alonso (planta cuya raíz cura la inflamación y úlcera estomacal sangrienta)
371	Luzerne	alfalfa	alfalfa; alfalfa - en la medicina popular sirve como antihemorrágico y para la curación de la piel, de los resfríos y de la gripe
372	für ein Fest verantwortliche Person	person who is responsable for a celebration	alférez; persona que tiene el cargo de celebrar la fiesta
373	Album	album	álbum
374	Algorithmus	algorithm	algoritmo
375	dort	there	allí; allá
376	sich selbst zum Graben veranlassen	to make oneself dig	hacerse cavar
377	graben lassen	to make dig	hacer cavar; cosechar; escarbar
378	Hacke; Häufelhacke	hoe; mattock	azada; azadón
379	Hacke	hoe	azada (para sacar papa, etc.)
380	sich mit einer Hacke stechen	to cut oneself with a hog; to sting oneself	pincharse; cavarse
381	Eidechse	lizard	lagartija
382	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	allampasu; especie de planta medicinal de la selva ecuatoriana
383	hacken gehen	to go to dig	ir a cavar
384	Hacke	hoe; mattock	azada; pico
385	Sternbild der Hacke	Hoe (constellation)	constelación de la Azada andina
386	auf den Rücken legen	to lay on the back	poner de espalda a alguien o algo
387	faulenzen; hingestreckt sein; auf dem Rücken liegen; liegen; sich ausruhen; ausruhen	to laze; to lie on the back; to relax; to lie	estar tendido de espalda; ociosear
388	sich auf den Rücken legen	to lie down on the back	echarse (tumbarse) de espalda
389	viele	many	muchos
390	viel; zu viel	much; too much	mucho; demasiado
391	sehr	very	muy
392	übertreiben (irgendeine Tätigkeit); verschlechtern	to exaggerate any action; to worsen; to make worse	exagerar cualquier acción; empeorar
393	für jemanden etwas graben	to dig for someone	cavárselo
394	morgen	tomorrow	mañana
395	früher Morgen, Arbeitszeit vorm Frühstück, insbesondere während der Ernte der dicken Bohnen im Mai	early morning, pre-breakfast work period, used especially during the broad bean harvest in May	madrugada
396	der gräbt	digger	el que cava; cavador; escarbador
397	Lass ihn graben!	make him dig!	¡hazlo cavar!
398	auf einmal graben	to dig at once	cavar de una vez
399	ausgegraben	dug up	cavado
400	allgemein	common	común
401	Ärmster!	poor boy!	¡pobrecito!; [compasión]
402	Ärmster!	poor boy!	¡pobrecito!; [compasión]
403	rechts	right; right (side)	derecho; derecha; derecha (mano)
404	rechte Seite	right side	lado derecho
405	Mashua; bestimmtes Knollengewächs	mashua; certain tuber plant	mashua; cierta planta tubércula
406	Ernte der Knollenfrüchte; Kartoffelernte	harvest of tuber plants; potato harvest; act or task of digging up tubers	cosecha de tubérculos; cosecha de papas
407	ausgraben; graben; Knollenfrüchte ernten	to dig up; to dig; to dig out potatoes; to dig up tubers; to excavate	cavar; excavar; escabar; escarbar; pinchar; remover la tierra para cosechar tubérculos; cavar para sacar papas; cosechar tubérculos; cosechar raíces; desenterrar
408	April	April	abril; mes de cosecha de tubérculos (abril)
409	graben helfen	to help to dig	ayudar a cavar
410	ordnen; aufräumen	to arrange; to put into order	ordenar; poner en orden
411	Enkel	grandson; grandchild	nieto; nieto respecto de la abuela; nieta respecto de la abuela
412	heilen	to heal	sanar
413	sich bereitmachen; sich herausputzen; sich anpassen (an); sich einstellen (auf)	to prepare oneself; to do oneself up; to arrange; to arrange well; to arrange; to accommodate (to)	arreglarse; acicalarse; adornarse; ataviarse; acomodarse
414	genesen	to recover; to get well	sanarse
415	bereitmachen; fertigmachen; vorbereiten; zubereiten	to prepare; to arrange; to arrange well	reparar; arreglar; poner en orden; acomodar; adornar; preparar; componer; decorar; asear la casa; acondicionar; remediar; ordenar; orillar; corregir; conciliar; agradecer; dar gracias; aderezar; aliñar
416	verbessern; berichtigen; korrigieren; ausbessern; reparieren	to correct; to repair	corregir; enmendar; mejorar; arreglar
417	bitte	please	por favor
418	In Ordnung?	Is it OK?	¿está bien?
419	Warenlager	warehouse	bodega
420	vorziehen; mögen	to prefer; to like; to like (not want)	preferir; gustar; alabar; elogiar
421	eine gute Lebensweise annehmen	to assume a good lifestyle	asumir un buen modo de vivir
422	edel; edelmütig	noble	noble
423	Würde; Moral; Tugend; Güte	dignity; moral; virtue; goodness	dignidad; moral; virtud; bondad
424	Disziplin	discipline	disciplina
425	Friede; Frieden; Sicherheit	peace; security	paz; seguridad
426	Recht haben	to be right	tener razón
427	rechts geponnen; gut gesponnen	right-spun; well-spun	torcido derecho; bien torcido; derecho
428	Geht es und gut?	are we fine?	¿estamos bien? (¿no más?)
429	Geht es dir gut?	are you fine?	¿estás bien? (¿no más?)
430	Gesundheit	health	salud
431	langsam; sacht; vorsichtig; mit Vorsicht	slow; careful; slowly	lento; despacio; con cuidado; con despacio; sin apuro; paulatinamente
432	Wie geht es Ihnen?	how are you? (sir, lady)	¿cómo está usted?; ¿cómo estás?; ¿bien?; ¿estás bien?
433	Mir geht es gut!	I am fine!; ok; fine; good	¡Estoy bien!
434	Nutzen	benefit	beneficio
435	nützlich; dienlich; brauchbar	useful	útil
436	gut; recht; gesund	good; fine; ok; nice; healthy; right	bueno; bien; sano; bueno; bien; excelente; despacio; bien; generoso; amable; sano; saludable
437	sinnvoll	sensible; useful	sensato
438	gesund	healthy	bien (de salud); sano
439	gut; wohl	well	bien; muy bien
440	das Bessere	the better	lo mejor
441	vorsichtig	carefully	cuidadosamente; con cuidado; despacio
442	gut; wohl	well; good	bien
443	fruchtbares Land	fertile land	tierra fértil
444	geordnet	arranged	arreglado
445	ordnen; einrichten; zusammensetzen; schmücken; verbessern; berichtigen; korrigieren; ausbessern; reparieren	to arrange; to fix; to decorate; to correct; to repair; to make better; make good; to improve; to cure; to fold clothes	ordenar; arreglar; componer; adornar; mejorar; reparar; corrigir; componer; arreglar; arreglar; componer; ordenar; corregir; enmendar; quitar defectos; perfeccionar
446	Willkommen!	Welcome!	¡Bienvenida!
447	ordnen	to put into order	ordenar
448	verbessern; berichtigen; korrigieren	to correct	corregir; enmendar; mejorar
449	Guten Abend!	Good evening!	¡Buenas tardes!; ¡Buenas noches!
450	Lebhaftigkeit; Lebendigkeit	vivacity	vivacidad
451	Gesundheitspolitik	public health administration	gestión de la salud pública
452	Willkommen!; Sei willkommen!	Welcome!	¡Bienvenido!; ¡Bienvenida!
453	Willkommen!; Seid willkommen!	Welcome! (plural)	¡Bienvenidos!; ¡Bienvenidas!
454	guter Mensch; gute Sache	good person; good thing	buena persona; cosa buena
455	Güte	kindness	bondad
456	Qualität	quality	calidad
457	Qualitätskontrolle	quality control	control de calidad
458	Wohl; Wohlergehen; Gesundheit	well-being; health	bienestar; salud; buena vida; moral
459	Recht auf Gesundheit	right of health	derecho a la salud
460	Gesundheitspolitik	health policy	políticas de salud
461	Institut für soziale Sicherheit	institute for social security	instituto de seguridad social
462	Gesundheit; Wohl; Wohlergehen	health; welfare; well-being	salud; bienestar; beneficio; harmonía
463	nur gut; einfach gut	just well; well; softly	bien nomás; bien; con suavidad; con cuidado; despacito; bastante bien; regularmente; bien (no más)
464	Frohes neues Jahr!	Happy New Year!	¡Feliz Año Nuevo!
465	langsam; sacht	slowly; gently	despacio
466	Gute Reise!; Auf Wiedersehen!	Good journey!; See you later!; Farewell!	¡Buen viaje!; ¡Hasta luego!
467	Frohe Weihnachten!; Frohes Fest!	Merry Christmas!	¡Feliz Navidad!
468	Recht haben	to be right	tener razón
469	rechte Hand	right hand	mano derecha
470	Patin	godmother	madrina
471	gemächlich; behäbig	gently; at a leisurely pace; slow; carefully	despaciosamente; lento; despacio; cuidadosamente
472	angebaute Mashua	cultivated mashua	mashuas cultivadas
473	genügend; (es ist) gut	sufficient; (it is) good	suficiente; está bien
474	Ernährung	nutrition	nutrición
475	Gewinn; Nutzen; Nützlichkeit	profit; benefit; usefulness	utilidad
476	Interesse	interest	interés
477	wohlhabend; glücklich	wealthy; fortunate	adinerado; acaudalado; auspicioso; venturoso; sin contratiempos
478	schön	handsome	guapo; hermoso
479	annehmen; loben	to approve of; to commend	aprobar; alabar
480	am frühen Nachmittag	in the early afternoon	en pleno día
481	sich verhalten; sich gut verhalten; sich benehmen	to behave; to behave well; to conduct oneself	conducirse; portarse
482	Guten Tag! (vormittags)	Good morning!	Buenos días!; ¡Buenos dias!
483	Schönschrift; Kalligraphie	calligraphy, penmanship	caligrafía
484	Rechtschreibung	orthography; spelling	ortografía
485	noch gut	still well	todavía bien
486	sich benehmen	to conduct oneself	conducirse; portarse
487	gut aussehen	to look good	paracer bien
488	Rücksicht; gute Aufmerksamkeit	considerateness; good attention	buena atención; buen cuidado
489	sich gut verhalten; aufmerksam sein; rücksichtsvoll sein	to behave well; to be considerate	conducirse; portarse
490	Nutzen	benefit	beneficio
491	wer höflich und offen spricht	who speaks politely and without murmuring	bienhablado; que habla cortésmente y sin murmurar
492	Guten Tag! (nachmittags)	Good afternoon!	¡Buenas tardes!
493	gutherzig; gütig; mildtätig; fromm	good-hearted; kind; kind-hearted; kindly; charitable; pious	bondadoso; piadoso; persona de buen corazón, bondadosa; benévelo; benevolente
494	Gewissen	conscience	conciencia
495	gütig	kind	bondadoso
496	guter Engel	good angel	ángel bueno
497	richtig; gut	correctly; well	correctamente; bien
498	in Ordnung!; sehr gut!	very well!; all right!; okay!	¡muy bien!; ¡de acuerdo!
