ID	Deutsch	English	Español	Italiano	Français
198	vermengen; mischen; kombinieren	to mix; to combine	mezclar; combinar	mischiare; combinare	
199	schärfen; schleifen (Messer)	to sharpen	afilar	affilare	
200	Kot; Kacke; Scheiße	excrements; droppings; shit; faeces; feces	excremento; excrementos; guano; estiércol; caga; mierda; caca; pasta fecal; escoria; heces; ñoña	escremento; escrementi; guano; sterco; cacca; merda; feci; scoria;	excrément; merde
201	heiß sein	to be hot (heat)	hacer calor	fare caldo [sensazione di caldo]	
202	heiß; warm	hot; warm	caliente; caluroso	caldo; caloroso	
203	Aua!	ouch!	¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!	Che dolore!; [ante la sensación de algo punzante]; ¡qué pena!	
204	Hitze; Wärme	heat; warmth	calor	calore	
205	brennen	to burn	quemar; arder	bruciare; ardere	
206	mit Scheißnase	shit-nosed	nariz de caca	naso di merda	
207	Wie schade!; Welch ein Schmerz!; O Ärmster!	What a pity!; What a pain!; Oh, poor boy!	¡Qué lástima!; ¡Qué pena!; ¡Pobrecito!	Che peccato!; Che pena!; Poveretto!	
208	Au!; Aua!; Wie heiß!	Ouch!; How hot!	¡Qué dolor!; ¡Qué caliente!; [ante la sensación de algo punzante]	Che dolore!; [Sensazione di qualcosa di pizzica o punge]; Che caldo!	
209	[unkontrollieres Frauengelächter]	[women's uncontrolled laughter]	[risa femenina descontrolada]	Ah! Ah! Ah!; [risata femminile incontrollata]	
210	Andenspecht; Specht	woodpecker; Andean flicker (bird)	pájaro carpintero; una especie de perdiz; acaca; cargacha; Pájaro de la puna que ante la presencia de extraños hace mucha bulla. A las mujeres chifladas (que se ríen con cualquiera) se las compara con la acaca; pájaro carpintero andino; pito	picchio; acaca; cargacha; [una specie di pernice; passero che in presenza di estranei fa molto baccano; le donne che ridono con qualunque persona sono paragonate alla acaca]; [tax. bin: Colaptes rupicola]	oiseau charpentier
211	einkoten; einkacken; einscheißen	to shit in	zurrarse	sporcarsi di merda	
212	Verstopfung	constipation	estreñimiento; constipación; disquinesia	costipazione	constipation
213	Kotecke; Plumpsklo hinter dem Haus	excrement corner; a shallow latrine behind houses	rincón para cagar; letrina tras la casa	latrina; [lit. angolo per cagare]	
214	Toilette; Klohäuschen	toilet; lavatory	letrina; baño	latrina; bagno; cesso	
215	Griesgram	grumblehuts; grouch; grumpy	hombre gruñón; renegón	mutrignone; burbero	
216	schwarzer Karakara; Geierfalke (Art); Vogel (Art)	black caracara; kind of vulture falcon; kind of bird	acangau; caracara negra; especie de halcón; especie de ave	acangau; caracara nera; [specie di falcone]; [tax. bin: Daptrius ater]	
217	winzig; klein	tiny; small	menudo; pequeño	piccolo; minuto	
218	verschimmeln	to get mouldy	enmohecerse	inumidirsi	
219	Hurrikan	hurricane	huracán	uragano	
220	Bewölkung; Dämmerung; morgendliche oder abendliche Färbung des Himmels	clouds; colouring of the sky at dawn or dusk	celaje; coloración del cielo en el alba o en el ocaso; colorete	nuvole; [tipica colorazione del cielo all'alba o al tramonto]	
221	Pferch	corral	corral; majada; corral del ganado	recinto; [recinto delle bestie]	
222	Bauchfell	peritoneum	peritoneo	peritoneo	
223	Scheißer	shitter; bastard	culo de mierda; cagador	cagatore; cagone;[lit.  culo di merda]	chieur
224	vielleicht	possibly; you mean to tell me	acaso	forse [intendi dire...]	
225	Mistkäfer	dung-beetle; black beetle; dung beetle; (lit.) pupe-pusher	escarabajo (de estiércol); escarabajo (lit. que empuja excremento)	scarafaggio; [lit. che spinge escrementi]; [tax. bin: Canthon gamellatus]; [tax. bin: Canthon laesus]; [tax. bin: Canthon nitidicollis]; [tax. fam: Scarabaeidae]	scarabée; bousier
226	sich wenden an; ohne Einladung hingehen	to inquire at; to turn to; to go without invitation	acudir por algo; recurrir; ir sin ser invitado; ir corriendo	aiutare per qualcosa; ricorrere; andare senza essere invitato; andare correndo	
227	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	acatuaua; especie de planta medicinal de la selva	acatuaua; [specie di pianta medicinale della selva]	
228	Windel	nappy; napkin; diaper; bunch	pañal; pañales; pañal interior	pannolino; pannolini	
229	Ausscheidung	excretion	deposición; deyección	depoizione; deiezione	
230	koten; kacken; scheißen	to excrete; to shit; to defecate	defecar; cagar; evacuar las materias fecales; evacuar; expeler	defecare; cagare; evacuare; [espellere gli escrementi]	déféquer
231	Iss meine Scheiße und rauche meinen Furz!	eat my shit and smoke my fart!	¡come mi caca y fuma mi pedo!	mangia la mia cacca e fuma il mio peto!	
232	Schwiegermutter eines Mannes	god mother (referring to a man)	suegra con relación a su yerno	suocera [relativamente al genero]	
233	schnell; geschwind	fast; quick	rápido	rapido	
234	Metallbecher	metal beaker; bowl; vase; high quality wide-mouthed vase	vaso de metal; vaso de oro o plata; vaso de oro o de plata para actos rituales; vaso de cristal u otro material similar para copear licores; tazón	vaso di metallo; vaso d'oro o argento; vaso di cristallo; [il vaso d'oro o d'argento era utilizzato per i rituali; il vaso di cristallo o altro materiale è utilizzato per contenere liquori	calice (récipient)
235	für religiöse Dienste ausgewählte Jungfrau im Inka-Reich; Sonnenjungfrau	virgin selected for religious service in Inka times; virgin of the sun	joven escogida de la casa real; virgen para servicio religioso; virgen del sol; escogida	vergine del sole; [erano giovani appartenenti alla casa reale e scelte per il servizio religioso]	
236	auswählen lassen	to make choose	hacer escoger	fare scegliere	
237	wählen	to choose; to prefer	elegir	scegliere	choisir
238	auswählen gehen	to go to choose	ir a escoger	andare a scegliere	
239	Wahlen	elections	elecciones	elezioni	
240	wiederholt auswählen	to choose repeatedly	escoger repetidamente; volver a seleccionar	scegliere ripetutamente; tornare a scegliere; scegliere di nuovo; scegliere nuovamente	
241	jemandem etwas auswählen	to choose for someone	escogérselo	sceglierlo da solo	
242	ausgewählt	selected	elegido; escogido; selecto; seleccionado; escogida	scelto; selezionato	
243	statistischer Wert	statistic value	muestra estadística	valore statistico	
244	Jungfrauenkonvent	virgins' convent	convento de mujeres vírgenes; gineceo incaico; casa de las escogidas; casa de las vírgenes del sol	convento delle vergini del Sole; [gineceo incaico] [lit. casa delle prescelte]	
245	Wahl; Auswahl; Lotterie	election; choice; lottery	elección, lotería	scelta; elezione; lotteria	
246	wählen; auswählen; einordnen	to select; to elect; to choose; to classify	elegir; seleccionar; escoger; clasificar; separar	eleggere; selezionare; scegliere; classificare; separare	choisir; sélectionner
247	erlesene Kartoffel; mehlige Kartoffel	selected potato; floury potato	papa harinosa; papa selecta	patata farinosa; patata scelta	
248	wählbar	elegible	elegible	eleggibile; sceglibile; preferibile	
249	Stotterer	stutterer; stammerer	tartamudo; gago	balbuziente	
250	taubstumm	deaf-mute	sordomudo	sordomuto	
251	stottern	to stammer	tartamudear	balbettare	
252	taub machen	to deafen	enmudecer	ammutolire	
253	Tat; Durchführung; Ausführung; Wirkung; Auswirkung	action; execution; effect	acción; ejecución; efecto	azione; esecuzione; effetto	
254	bewirken; durchführen; ausführen	to effect; to execute	efectuar; ejecutar	effettuare; eseguire	
255	zeremonielles Gewand; Ort, an dem Zeremonien stattfinden	ceremonial dress; place where ceremonies take place	vestido ceremonial; lugar donde se realizan ceremonias	vestito cerimoniale; luogo dove si realizzano cerimonie	
256	edles Frauengewand	precious women's dress	mantellina de mujer pintada	mantellina femminile dipinta	
257	ein Kind nach der Mahlzeit aufstoßen lassen	to make a child burp after nursing	hacer eructar a un niño	fare eruttare un bambino	
258	rülpsen	to burp; to burp; to belch	"eructar; decir ""ac"""	eruttare; [emettere un rutto]	
259	böse; schlecht; neidisch	bad; cruel; envious	malo; cruel; envidioso	malvagio; cattivo; crudele; invidioso	
260	Kleid; Rock; Kittel; Umhang; von Frauen getragener Umhang; Kleiderrock	skirt; dress; smock; cape; cloak; woven cloth worn on back by Indian women; overskirt; skirt woven in two equal pieces; women's black wrap skirt or overdress; square piece worn by women, fastened at waist, which serves as a petticoat	bata; vestido; mantón; capa; prenda de vestir de la mujer; saya; acsu (saya de las mujeres indígenas); falda; vestidura talar	vestito; mantello; [vestito tipico delle donne indigene]; gonna; abito talare; sayo	
261	anziehen (jemanden)	to dress someone	vestir (a alguien); hacer vestir	vestire qualcuno; fare vestire	
262	sich anziehen	to dress oneself	vestirse la saya; vestirse	vestirsi con il sayo; vestirsi	
263	Kartoffel	potato	papa; patata	patata; [tax. bin: Solanum tuberosum]	pomme de terre
264	herausziehen	to extract	extraer	estrarre	
265	Vielfaches eines Gramm	multiple of gram	múltiplo del gramo	multiplo dell grammo	
266	Portion zu kauende Koka	portion of coca to chew	porción de coca que se mastica; tiempo en el que se mastica la coca	akulli; [porzione di coca da masticare; ora del giorno in cui si mastica la coca]	
267	Koka kauen	to chew coca	masticar coca; masticar	masticare coca	mastiquer la coca
268	etwa zehn Uhr morgens; morgendliche Arbeitspause zum Koka kauen	about 10:00 am; time of break from morning's work to chew coca	aproximadamente las diez de la mañana; tiempo de pausa del trabajo en la mañana para masticar coca	akulli [ora del giorno in cui si mastica la coca; approssimativamente le dieci del mattino; corrisponde alla nostra pausa caffè]	
269	begleiten	to accompany	acompañar	accompagnare	accompagner
270	privat	private	privado	privato	
271	Sonnenuntergang	sunset	puesta del sol	tramonto	
272	Pferdeschwanz (Medizinpflanze mit dünnen, grünen, harten Stengeln, die zur Heilung innerer und äußerer Entzünungen verwendet wird)	horsetail (medical plant with thin, green, hard stalks used for healing internal and external inflammations)	cola de caballo (planta medicinal de tallos delgados, verdes y duros que cura las inflamaciones internas y externas)	coda di cavallo [pianta medicinale di tronchi sottili, verdi e duri che sono utilizzati per la cura delle infiammazioni interne ed esterne]	
273	Koka anbauen	to grow coca	cultivar coca; masticar coca	coltivare coca	cultiver la coca
274	etwas in den Mund tun; kauen; Koka kauen	to put something in the mouth; to chew; to chew coca	poner algo en la boca; comer pito de cualquier cereal; masticar; masticar coca; comer harina el maíz tostado y pulverizado	mettere qualcosa in bocca; mettere in bocca; masticare coca; mangiare farina di mais tostato e polverizzat; mangiare poltiglia di un qualsiasi cereale	se mettre un aliment dans la bouche
275	Nadel	needle	aguja	ago	
276	einjähriger endemischer Reiherschnabel (Art) der hohen Gebirgsregion	red-stemmed filaree; kind of annual endemic plant of the high mountain region	alfilerillo; especie de geraniácea anual endémica de la alta puna	alfilerillo; [specie di geraneacea annulae endemica della regione montagnosa	
277	Spritze; Injektionsnadel	syringe; injection needle	jeringa; aguja de jeringa	siringa; ago della siringa	
278	Interesse	interest	interés	interesse	
279	Flügel	wing	ala de pájaro	ala del passero; ala dell'uccello	
280	Alabado (christlicher Gesang, der bei der Entnahme des Leichnams aus dem Haus gesungen wird)	Alabado (christian chant sung when the corpse is taken out of the house)	Alabado (cántico religioso introducido por los doctrineros. Se entona al sacar el cadáver de la casa)	Alabado; [cantico funebre religioso introdotto dai missionari. Si intona quando il cadavere viene portato all'esterno della casa]	
281	Betender; Sänger des Alabado	prayer (person); singer of the Alabado	rezante; cantante del Alabado	pregante; cantante dell'Alabado	
282	Alabado singen	to sing the Alabado	entonar el Alabado	intonare l'Alabado	
283	prahlerisch; angeberisch	boastful; boasting; bragging	alabancioso	alabanzioso; [chi canta l'Alabado]	
284	loben; preisen	to praise	alabar	pregare	
285	Pechvogel; armer Teufel	unlucky fellow	pobrecito; desdichado	poveretto; disgraziato	
286	abkühlen; auffrischen	to cool down; to refresh	enfriar; refrescar	raffreddare; rinfrescare	
287	kalt	cold	frío; helado; frigido; friolento; que siente frío; que hace frío	freddo; gelato; frigido; freddoloso; che sente freddo; che produce sensazione di freddo	froid
288	gekühlt; abgekühlt	cooled	enfriado; resfriado	raffreddato	
289	kalt; gekühlt; abgekühlt; aufgefrischt	cold; cooled; refreshed	frío; enfriado; refrescado	freddo; raffreddato; rinfrescato	
290	Was für eine Kälte!; Wie kalt!	How cold!; It's cold!; Brrr!	¡Qué frío!; [exclamación del que siente frío]	Che freddo!; [esclamazione di chi sente freddo]	Brr!
291	Was für eine Hitze!; Wie heiß!	What a heat!; It's hot!	¡Qué calor!	Che calore!; Che caldo!	
292	Kummer; Leid	sorrow	pena	pena	
293	Erkältung	cold (illness)	resfrío; catarro	raffreddore; catarro	
294	kalt sein; frieren	to be cold; to freeze	hacer frío; estar frío; tener frío; helar; hacer frio; sentir frío; tener frío; hacer frío	fare freddo; essere freddo; avere freddo; gelare; sentire freddo	faire froid
295	kühlen; abkühlen	to cool	enfriar	raffreddare	
296	ketschuasprachige Volksgruppe im Gebiet der Flüsse Pastaza und Tigre (Departement Loreto/Peru und benachbartes Ecuador); (span.) Quechuas del Pastaza y Tigre	Quechua-speaking ethnic group in the region of the rivers Pastaza and Tigre (department of Loreto/Peru, and neighbouring Ecuador); (Span.) Quechuas del Pastaza y Tigre	Quechuas del Pastaza y Tigre; grupo étnico quechuahablante en la región de los ríos Pastaza y Tigre (departamento de Loreto/Perú y Ecuador adyacente)	Alama; [Gruppo etnico parlante-quechua abitante la regione dei fiumi Pastaza e Tigre (dipartimento di Loreto (nord del Peru) al confine con l'Ecuador]	
297	Pappel; Pflanze, die verwendet wird zum Gelb Färben	poplar; plant used to dye yellow	álamo; planta usada para teñir de amarillo	alamo; [pianta usata per tingere di giallo]; [tax. div: magnoliophyta; cla: magnoliopsida; ord: malpihialaes; fam: salicaceae; gen: populus]	
298	binden; verbinden; bündeln	to tie; to bundle	liar; rematar; forma particular de pelearse entre mujeres; entretejer	legare; forma di litigio propria delle donne	
299	erscheinen	to appear	aparecer	apparire	
300	gelblich	yellowish	amarillento	giallognolo	
301	Darm; Eingeweide	intestine; intestines	intestino; tripa	intestino; trippa	
302	erlauben; zustimmen; (wörtlich) Flügel geben	to allow; to consent; (lit.) to give wings	dar alas; consentir; engreír	permettere; consentire; [lit. dare ali]	
303	Welch schlimmer Schmerz!	what terribly pain!	¡qué dolor terrible!; ¡que pena!; [expresión que denota compasión de alguien que da lástima]; pobrecito, qué pena; ¡qué pena!	Che dolore terribile!; Che pena!; Poveretto!; [espressione che denota compassione per qualcuno che fa pena]	
304	stark schmerzen	to hurt terribly	doler terrible	dolore terribile	
305	jammern; klagen	to complain	quejarse; gemir	lamentarsi; gemere	
306	Hitze	heat	calor	calore	
307	kalt	cold	frío	freddo	
308	heiß sein	to be hot	hacer calor	fare caldo; fare calore	
309	kalt sein	to be cold	hacer frío	fare freddo	
310	harter, grüner oder blauer Stein, verwendet als Mahlstein	hard, green or blue stone used as grind stone	piedra dura y lisa de color verde o azul, usada en molino y batán	battacchio; [pietra dura e liscia, di colore verde o blu, utilizzata per i mulini o nei batan; il batan è una macchina (mulino) ad acqua utilizzata per comprimere i tessuti in Spagna fino alla fine del XIX sec. (fonte www.wikipedia.org)]	
